,Companies,Farm Segment,Solution Focus,Country,All Investors,Total Funding,country,code_2,code_3,country_code,iso_3166_2,continent,sub_region,region_code,sub_region_code,Funding,region
660,Heura Foods,"Livestock, Poultry, & Meats",Biotech,Spain,"Culinary Action Aceleradora, EIT Food, NEOTEC, Unovis Asset Management, Crowdcube, Capital V, Green Monday, Impact Fooding, Lever VC",19.22,Spain,ES,ESP,724,ISO 3166-2:ES,Europe,Southern Europe,150,39,19220000,Europe
661,Heuros,"Livestock, Poultry, & Meats",Biotech,Australia,Proveg Incubator,0.02,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,9,53,20000,Oceania
662,Hexafly,Multi-faceted,Business Planning & Finance,Ireland,"RebelBio, SOSV, The Yield Lab, Enterprise Ireland, Halo Business Angel Network",2.62,Ireland,IE,IRL,372,ISO 3166-2:IE,Europe,Northern Europe,150,154,2620000,Europe
663,Hey Maet,"Livestock, Poultry, & Meats",Biotech,China,"Shuangta Food, Tiantu Capital, UpHonest Capital, Junsan Capital, Welight Capital",1.45,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,1450000,Asia
664,Hi Fidelity Genetics,Crops,Biotech,United States,"Fall Line Capital, Finistere Ventures, Gro Alliance, KdT Ventures, Prairie Crest Capital, S2G Ventures, Tom Farms, Paycheck Protection Program",8.75,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,8750000,North America
665,Hiber Global,Multi-faceted,Monitoring & Management,Netherlands,"Hartenlust Group, Netherlands Enterprise Agency, Finch Capital, EIC Accelerator, Eco-Innovation Initiative, European Innovation Council",40.79,Netherlands,NL,NLD,528,ISO 3166-2:NL,Europe,Western Europe,150,155,40790000,Europe
666,Higher Steaks,"Livestock, Poultry, & Meats",Biotech,United Kingdom,Pearse Lyons Cultivator,0.02,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,20000,Europe
667,HitchPin,Multi-faceted,Business Planning & Finance,United States,,2.35,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,2350000,North America
668,Hive UAV,Crops,Monitoring & Management,Australia,Slingshot,0.02,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,9,53,20000,Oceania
669,Holganix,Crops,Biotech,United States,"Delaware Crossing Investment Group, BlueTree Allied Angels, JumpStart NJ Angel Network, Originate Ventures, The Yield Lab, Missouri Technology Corporation, iSelect Fund, F3 Tech Accelerator",5.2,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,5200000,North America
670,HoneyComb Corp.,Crops,Monitoring & Management,United States,"Prosper Portland, VertueLab, Portland Seed Fund",0.46,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,460000,North America
671,Hoober Feeds,"Livestock, Poultry, & Meats",Biotech,United States,,1.2,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1200000,North America
672,Hooked Foods,Fishing & Seafood,Biotech,Sweden,"Food Angels, Kale United, Katapult Ocean, Plus Capital, Proveg Incubator, Wave Ventures, Brightly Ventures, Danny Saucedo, Oyster Bay",5.27,Sweden,SE,SWE,752,ISO 3166-2:SE,Europe,Northern Europe,150,154,5270000,Europe
673,Hooray Foods,Crops,Biotech,United States,"Plug and Play Accelerator, GlassWall Syndicate, Stray Dog Capital, Evolution VC Partners, Gaingels, Sand Hill Angels, David Hoffman, Lyra Growth Partners",5.22,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,5220000,North America
674,Hortau,Crops,Monitoring & Management,United States,"Rio Investment Partners, Telesystem, Business Capital, Advantage Capital, BDC Venture Capital, Desjardins, Sustainable Development Technology Canada, Capital regional et cooperatif Desjardins, Export Development Canada, FondAction CSN, Fonds de Solidarite FTQ, Lewis & Clark AgriFood",114.3,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,114300000,North America
675,Hortiya,Crops,Monitoring & Management,Germany,German Federal Environmental Foundation,0.15,Germany,DE,DEU,276,ISO 3166-2:DE,Europe,Western Europe,150,155,150000,Europe
676,Horus Aeronaves,Crops,Monitoring & Management,Brazil,"SP Ventures, EqSeed, Cedro Capital",1.81,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,1810000,South America
677,Hoxton Farms,"Livestock, Poultry, & Meats",Biotech,United Kingdom,"Backed VC, CPT Capital, Founders Fund, Presight Capital, Sustainable Food Ventures",3.72,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,3720000,Europe
678,Hudson River Biotechnology,Crops,Biotech,Netherlands,"Bridford Investments, European Commission",5.9,Netherlands,NL,NLD,528,ISO 3166-2:NL,Europe,Western Europe,150,155,5900000,Europe
679,Hummingbird Technologies,Crops,Monitoring & Management,United Kingdom,"European Space Agency, James Dyson, Newable, Velcourt, Saudi Agricultural & Livestock Investment Company, BASF Venture Capital, Downing Ventures, TELUS Ventures",12.99,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,12990000,Europe
680,Hungry Harvest,Crops,Distribution & Sales,United States,"Conscious Venture Lab, Ungraded Produce, Creadev, Delphine Descamps, Desert Bloom, Hans Taparia, Danone Manifesto Ventures",13.97,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,13970000,North America
681,Hungry Planet,"Livestock, Poultry, & Meats",Biotech,United States,"Paycheck Protection Program, Post Holdings, TRIREC",30.87,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,30870000,North America
682,Husarion,Crops,Biotech,United States,"KPD Investment, Kickstarter",0.11,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,110000,North America
683,HUVRData,Crops,Monitoring & Management,United States,"Central Texas Angel Network, Houston Angel Network, Paycheck Protection Program, Cottonwood Venture Partners, Wild Basin Investments",7.25,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,7250000,North America
684,HydroBio,Crops,Monitoring & Management,United States,"Monsanto Growth Ventures, Climate FieldView",0.06,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,60000,North America
685,Hydrofarm,Crops,Monitoring & Management,United States,"Broadband Capital Management, Hawthorn Equity Partners, Serruya Private Equity, Unrivaled Brands, Paycheck Protection Program",89.56,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,89560000,North America
686,HydroPoint Data Systems,Crops,Monitoring & Management,United States,"Chrysalix Venture Capital, Firelake Capital, J.F. Shea, Monitor Ventures, RockPort Capital Partners, The Toro Company, Raisin Capital Management, Sustainable Development Investments, Emerald Technology Ventures, Wincubator, Paycheck Protection Program, Shea Ventures, BOLD Capital Partners, Greenhouse Capital Partners",72.13,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,72130000,North America
687,ICAN Technology,Crops,Monitoring & Management,China,"Hillhouse Capital Management, Linear Venture",1.46,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,1460000,Asia
688,IDGeo,Crops,Monitoring & Management,Brazil,"Sao Paulo Research Foundation, Poli Angels",0.54,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,540000,South America
689,iFarm,Crops,Monitoring & Management,Russian Federation,"Gagarin Capital Partners, Sergey Ambrosov, Sergey Ryzhikov, Boris Kim, IMI.VC, ImpulseVC, Matrix Capital",5,Russian Federation,RU,RUS,643,ISO 3166-2:RU,Europe,Eastern Europe,150,151,5000000,Europe
690,iFarmer,Multi-faceted,Business Planning & Finance,Bangladesh,"Accelerating Asia, Falcon Network",0.6,Bangladesh,BD,BGD,50,ISO 3166-2:BD,Asia,Southern Asia,142,34,600000,Asia
691,iFood Decision Sciences,Crops,Packing & Supply Chain,United States,Warburg Pincus,14,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,14000000,North America
692,iFoodDS,Crops,Distribution & Sales,United States,Insight Partners,15,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,15000000,North America
693,Illumitex,Multi-faceted,Monitoring & Management,United States,"Aweida Venture Partners, Mercury Fund, New Enterprise Associates, Applied Ventures, Apex Venture Partners, Mousse Partners, Syngenta Ventures, Union Grove Venture Partners, WP Global Partners",77.78,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,77780000,North America
694,Imagindairy,"Livestock, Poultry, & Meats",Biotech,Israel,"CPT Capital, Entree Capital, Israel Innovation Authority, The Kitchen, Unovis Asset Management, Collaborative Fund, Emerald Technology Ventures, Green Circle Foodtech Ventures, MoreVC, New Climate Ventures, Pierre Besnainou, S2G Ventures, Strauss Group",14.5,Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,142,145,14500000,Asia
695,Imago AI,Crops,Biotech,India,Techstars,0.12,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,120000,Asia
696,Impact NRS,Crops,Biotech,United States,,32.8,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,32800000,North America
697,Impact Terra,Crops,Monitoring & Management,Myanmar,Netherlands Space Office Geodata for Agriculture and Water Facility,3,Myanmar,MM,MMR,104,ISO 3166-2:MM,Asia,South-Eastern Asia,142,35,3000000,Asia
698,Impetus Agriculture,Crops,Biotech,United States,"Burrill & Company, Prolog Ventures, Spruce Capital Partners, St. Louis Arch Angels",1.29,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1290000,North America
699,Impossible Foods,"Livestock, Poultry, & Meats",Biotech,United States,"Bill Gates, Google Ventures, Horizons Ventures, Khosla Ventures, UBS, Viking Global Investors, Trinity Capital Investment, Horizon Ventures, Open Philanthropy Project, Temasek, Sailing Capital, Ahmir Thompson, Alexis Ohanian, Anton Zaslavski, G Squared, Jaden Smith, Jay Brown, Kal Penn, Katheryn Hudson, Katy Perry, Kirk Cousins, Paul George, Phil Rosenthal, Ruby Rose, Serena Ventures, Shawn Carter, Trevor Noah, William Adams, Lonnie Corant Jaman Shuka Rashid Lynn, Mindy Kaling, Mirae Asset Financial Group, Peter Jackson, Serena Williams, Coatue Management, Mirae Asset Global Investments, XN Capital, Manhattan Venture Partners, Conti Ventures",2006.16,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,2006160000,North America
700,inaho,Crops,Monitoring & Management,Japan,"Emergence Planning, ITOCHU Technology Ventures, dof, Future Food Fund",1.6,Japan,JP,JPN,392,ISO 3166-2:JP,Asia,Eastern Asia,142,30,1600000,Asia
701,Inalve,"Livestock, Poultry, & Meats",Biotech,France,"Forum Ventures, Angels for Greentech, Angels' Bay Invest, Arts & Metiers Business Angels, INSEAD Alumni Business Angels, R2V, Region Sud Investissement, Turenne Capital Partenaires",3.4,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,3400000,Europe
702,Inari,Crops,Biotech,United States,"Acre Venture Partners, Alexandria Venture Investments, Flagship Pioneering, EDBI, Investment Corporation of Dubai, K2 HealthVentures, G Squared, Pavilion Capital, Pictet Group, Rivas Capital",397,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,397000000,North America
703,InCeres,Crops,Monitoring & Management,Brazil,SP Ventures,0.76,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,760000,South America
704,INdependent Data Management,Crops,Monitoring & Management,United States,"Open Prairie Ventures, Paycheck Protection Program",5.83,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,5830000,North America
705,Indigo Ag,Crops,Biotech,United States,"Flagship Pioneering, Altitude Life Science Ventures, Alaska Permanent Fund, Activant Capital, Baillie Gifford & Co., Investment Corporation of Dubai, G Squared, FedEx, Pacific Western Bank, Riverstone Holdings",1176.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1176500000,North America
706,indorz,Crops,Monitoring & Management,Israel,,1.4,Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,142,145,1400000,Asia
707,InFarm,Crops,Monitoring & Management,Germany,"Indiegogo, EuropeanPioneers, Horizon 2020, Atlantic Food Labs, Cherry Ventures, Demand Analytics, IDEO, LocalGlobe, Quadia, Balderton Capital, Mons Investments, TriplePoint Capital, Astanor Ventures, Atomico, East Japan Railway Company, Bonnier Ventures, Franz Haniel & Cie, Hanaco Venture Capital, Latitude Ventures, Lightrock, Partners in Equity, Qatar Investment Authority",601.59,Germany,DE,DEU,276,ISO 3166-2:DE,Europe,Western Europe,150,155,601590000,Europe
708,Infinite Harvest,Crops,Monitoring & Management,United States,,2.16,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,2160000,North America
709,Inflection Point Technologies,Crops,Monitoring & Management,United States,Iowa Economic Development Authority,0.03,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,30000,North America
710,InfyU Labs,Crops,Packing & Supply Chain,India,"Boeing India BUILD, Indian Angel Network",0.25,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,250000,Asia
711,INNO-3B,Crops,Monitoring & Management,Canada,"Ecofuel Accelerator, Desjardins Capital, Fonds de Solidarite FTQ, Investissement Quebec, Premier Tech, Quebec Ministere de l'Economie, de l'Innovation et des Exportations",4.56,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,4560000,North America
712,InnovaFeed,Multi-faceted,Biotech,France,"Alter Equity, Finovam, Nord Creation, Nord France Amorcage, Creadev, Horizon 2020, Temasek",182.4,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,182400000,Europe
713,Inseact,Fishing & Seafood,Biotech,Singapore,"ADB Ventures, Claudia Zeisberger, INSEAD Angels, Idgar Kippersluis, Loyal VC",1.3,Singapore,SG,SGP,702,ISO 3166-2:SG,Asia,South-Eastern Asia,142,35,1300000,Asia
714,Insight Robotics,Crops,Monitoring & Management,Hong Kong,"Beyond Ventures, Brizan Investments, Linear Capital Partners",9,Hong Kong,HK,HKG,344,ISO 3166-2:HK,Asia,Eastern Asia,142,30,9000000,Asia
715,InspiraFarms,Multi-faceted,Packing & Supply Chain,United Kingdom,"DOEN Foundation, Energy Access Ventures, Factor(e) Ventures, Montpelier Foundation, PYMWYMIC, KawiSafi Ventures",8.18,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,8180000,Europe
716,InstaAgro,Multi-faceted,Business Planning & Finance,Brazil,Daniel Bachner,0.6,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,600000,South America
717,Insurion,Multi-faceted,Business Planning & Finance,Russian Federation,"Fintech Lab, Sberbank and 500 Startups Accelerator, Fund4SE",0.4,Russian Federation,RU,RUS,643,ISO 3166-2:RU,Europe,Eastern Europe,150,151,400000,Europe
718,INSYLO,"Livestock, Poultry, & Meats",Monitoring & Management,Spain,"IMPACT Accelerator, European Food Nexus Startup Challenge, Agro Innovation Lab, Japfa Feeds the Future",0.17,Spain,ES,ESP,724,ISO 3166-2:ES,Europe,Southern Europe,150,39,170000,Europe
719,Integrated Agriculture Systems,Crops,Monitoring & Management,United States,,1.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1500000,North America
720,IntegriCulture,"Livestock, Poultry, & Meats",Biotech,Japan,"A-FIVE, Beyond Next Ventures, Hiroaki Kitano, MTG, Real Tech Fund, AgFunder, Hiroshima Venture Capital, NH Foods, Naruhisa Nakagawa, VU Venture Partners, kemuri ventures, Future Food Fund, Iyogin Capital Company, Plan Do See, Resona Capital, SuMi Trust Innovation Fund, Yamaguchi Capital",17.19,Japan,JP,JPN,392,ISO 3166-2:JP,Asia,Eastern Asia,142,30,17190000,Asia
721,Inteligistics,Multi-faceted,Packing & Supply Chain,United States,"U.S. Department of Defense, U.S. Navy, Innovation Works, THRIVE Accelerator",1.69,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1690000,North America
722,IntelinAir,Crops,Monitoring & Management,United States,"HBS Alumni Angels Association, HIVE Ventures, Holdsworth & Company, Hyde Park Venture Partners, Western Technology Investment, Granatus Ventures, Regulator Group, SDMC Ag, Scientia Ventures, Takiff, Tim Hassinger",23.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,23500000,North America
723,Intelliculture,Crops,Business Planning & Finance,Canada,"Accelerator Centre, 519 Growth Fund, Emmertech",1.37,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,1370000,North America
724,Intelligent Growth Solutions,Crops,Monitoring & Management,United Kingdom,"AgFunder, S2G Ventures, Scottish Investment Bank, Ospraie Management, Cleveland Avenue, Cofra Holding, DC Thomson Ventures, Ospraie Ag Science, Scottish Enterprise",65.67,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,65670000,Europe
725,Intello Labs,Crops,Monitoring & Management,India,"World Food India, Indigram Labs, MassChallenge, Plug and Play Accelerator, Nexus Venture Partners, Omnivore Partners, Target Accelerator Program, GROW, Google for Startups Accelerator, a-IDEA, GO, Saama Capital, THRIVE Accelerator, Avaana Capital",12.9,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,12900000,Asia
726,Intergado,"Livestock, Poultry, & Meats",Monitoring & Management,Brazil,"Criatec Fund, KPTL",2.56,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,2560000,South America
727,International Farming,Multi-faceted,Business Planning & Finance,United States,,1.4,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1400000,North America
728,Intravision Greens Niagra,Crops,Monitoring & Management,Canada,Mosaic Capital Partners,1.6,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,1600000,North America
729,IoAgri,Crops,Monitoring & Management,Italy,"Auriga, CDP Venture Capital SGR",0.52,Italy,IT,ITA,380,ISO 3166-2:IT,Europe,Southern Europe,150,39,520000,Europe
730,ioCrops,Crops,Monitoring & Management,South Korea,"Enlight Ventures, ISU Venture Capital, Seoul Techno Holdings, Bass Investment, POSTECH Holdings, TIPS Program",2.34,South Korea,KR,KOR,410,ISO 3166-2:KR,Asia,Eastern Asia,142,30,2340000,Asia
731,IoTAg,"Livestock, Poultry, & Meats",Monitoring & Management,Australia,SproutX,0.04,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,9,53,40000,Oceania
732,iPower,Crops,Monitoring & Management,United States,,3.35,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,3350000,North America
733,iProcure,Crops,Packing & Supply Chain,Kenya,"Invested Development, Safaricom",0.15,Kenya,KE,KEN,404,ISO 3166-2:KE,Africa,Eastern Africa,2,14,150000,Africa
734,IREFLY.com,"Livestock, Poultry, & Meats",Monitoring & Management,China,"Divine Capital, Ameba Capital, K2VC, Chuxin Capital Partners",3.48,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,3480000,Asia
735,Iridium Dynamics,Crops,Monitoring & Management,Australia,"Techstars, Airbus BizLab",0.12,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,9,53,120000,Oceania
736,Iron Goat,"Livestock, Poultry, & Meats",Monitoring & Management,United States,"MassChallenge, MIT Clean Energy Prize",0.07,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,70000,North America
737,Iron Ox,Crops,Monitoring & Management,United States,"Y Combinator, Cherubic Ventures, 7Percent, Amplify Partners, Eniac Ventures, Crosslink Capital, At One Ventures, Pathbreaker Ventures, R7 Partners, Tuesday Capital, Breakthrough Energy Ventures",96.32,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,96320000,North America
738,Irriot,Crops,Monitoring & Management,Sweden,"Mikael Ahlström, FAN Nordic Hub, Seven District Development, LRF",1.21,Sweden,SE,SWE,752,ISO 3166-2:SE,Europe,Northern Europe,150,154,1210000,Europe
739,Irrovation,Crops,Monitoring & Management,United States,,1.89,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1890000,North America
740,ITK,Crops,Monitoring & Management,France,"Starquest Capital, Banque des Territoires, BNP Paribas, Banque Populaire du Sud Group",29.47,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,29470000,Europe
741,iUNU,Crops,Monitoring & Management,United States,"Radicle Capital, Village Capital, BootstrapLabs, Fuel Capital, Initialized Capital, Liquid 2 Ventures, Second Avenue Partners, NCT Ventures, Orange Fab, Paycheck Protection Program, Ceres Partners, S2G Ventures, Serra Ventures, Fortson VC, Astanor, Lewis & Clark Partners",59.66,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,59660000,North America
742,Jack & Bry,"Livestock, Poultry, & Meats",Biotech,United Kingdom,"KM Capital, Rubix Ventures, SFC Capital",1.71,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,1710000,Europe
743,Jack and Jake's,Multi-faceted,Distribution & Sales,United States,"Amcref Community Capital, Investors' Circle, Keller Enterprises, Social Venture Fund, Gray Ghost Ventures",0.47,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,470000,North America
744,Jai Kisan,Crops,Business Planning & Finance,India,"Astarc Ventures, Better Capital, Blume Ventures, Harshbeena Zaveri, Prophetic Ventures, Sanjay Mariwala, Arkam Ventures, National Bank For Agriculture And Rural Development, Rajiv Sahney, The Chatterjee Group, Mirae Asset Capital, NabVentures, Syngenta Group Ventures, BlackSoil Capital, Stride Ventures, Trifecta Capital, Trifecta Capital Advisors",38.75,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,38750000,Asia
745,Javelot,Crops,Packing & Supply Chain,France,"Sparkling Partners, Unilis AgTech",1.2,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,1200000,Europe
746,JetBov,"Livestock, Poultry, & Meats",Monitoring & Management,Brazil,"SP Ventures, Google for Startups Accelerator, InovAtiva Brazil, ACE Accelerator",0.88,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,880000,South America
747,JiaHe Info,Crops,Monitoring & Management,China,"CASH Capital Investment Management, Optical Valley Talent Investment, Junsan Capital",0.16,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,160000,Asia
748,Jialin Group,Multi-faceted,Packing & Supply Chain,China,"Chunxiao Capital, Plum Ventures, Sky Saga Capital, Ether Capital, Leton Capital, 36kr Fund, 36kr Media, Meihua Lide",15.81,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,15810000,Asia
749,Jianan Agro-pastoral,Multi-faceted,Packing & Supply Chain,China,"SDIC Tronfund, Fortune Capital, Orchid Asia Group Management",44.97,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,44970000,Asia
750,JJ&Companies,Fishing & Seafood,Monitoring & Management,South Korea,"TheVentures, Series Ventures, TIPS Program, Seoul Techno Holdings",0.64,South Korea,KR,KOR,410,ISO 3166-2:KR,Asia,Eastern Asia,142,30,640000,Asia
751,Joe's Future Food,"Livestock, Poultry, & Meats",Biotech,China,"Matrix Partners China, Crystal Stream, Hillhouse Capital Management, Nanjing Innovation Capital Group",13.95,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,13950000,Asia
752,JUA Technologies,Crops,Monitoring & Management,United States,"Elevate Ventures, U.S. Department of Agriculture, Purdue Foundry Investment Fund",0.2,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,200000,North America
753,Juicy Marbles,"Livestock, Poultry, & Meats",Biotech,Slovenia,"Y Combinator, AgFunder, Ecosia",4.63,Slovenia,SI,SVN,705,ISO 3166-2:SI,Europe,Southern Europe,150,39,4630000,Europe
754,Jumbotail,Crops,Distribution & Sales,India,"Nexus Venture Partners, Kalaari Capital, BNK Ventures, Capria, Heron Rock, William Jarvis, JumboFund, Pimpernel Holdings, Reaction Fund, Siddhi Capital, Discovery Ventures, Grupo Nutresa, Klinkert Investment Trust, Peter Crosby Trust, Veronorte, Vii Ventures, Alteria Capital, Ajax Capital, Artal Asia",140.16,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,140160000,Asia
755,Jungle,Crops,Monitoring & Management,France,"Alain Denin, Christian de Labriffe, Demeter Partners, Founders Future, Serge Papin, Atlante Gestion",51.44,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,51440000,Europe
756,Kaiima Bio-Agritech,Crops,Biotech,Israel,"DFJ Tamir Fishman Ventures, Horizons Ventures, Infinity Group (China), International Finance Corporation, Kleiner Perkins Caufield & Byers, Mitsui & Co. Global Investment, Musea Ventures, Oberlee, Threshold Ventures",83,Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,142,145,83000000,Asia
757,Karnott,Crops,Monitoring & Management,France,"Benoit Demagny, Leap Ventures, Partech Partners, Euratechnologies",4.13,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,4130000,Europe
758,Kedai Sayur,Crops,Distribution & Sales,Indonesia,"East Ventures, Multi Persada, Sinar Mas Digital Ventures, Triputra Group",8.8,Indonesia,ID,IDN,360,ISO 3166-2:ID,Asia,South-Eastern Asia,142,35,8800000,Asia
759,KHULA!,Crops,Distribution & Sales,South Africa,"Google for Startups Accelerator, AECI, E Squared Capital Management",1.3,South Africa,ZA,ZAF,710,ISO 3166-2:ZA,Africa,Southern Africa,2,18,1300000,Africa
760,Kilimo,Crops,Monitoring & Management,United States,"NXTP Corporate Partners, Start-Up Chile, NXTP Ventures, AgLaunch, Innova Memphis, Xpand Ventures, The Yield Lab",0.28,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,280000,North America
761,Kilofarms,,Distribution & Sales,India,TheVentures,1.2,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,1200000,Asia
762,Kinnva,Multi-faceted,Biotech,Singapore,Hatch,0.06,Singapore,SG,SGP,702,ISO 3166-2:SG,Asia,South-Eastern Asia,142,35,60000,Asia
763,Kisan Network,Crops,Distribution & Sales,India,"Y Combinator, FundersClub, The Thiel Foundation, Gokul Rajaram, Lynett Capital, Mistletoe, Venture Highway",3.6,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,3600000,Asia
764,KisanHub,Crops,Packing & Supply Chain,United Kingdom,"Greater Cambridge Greater Peterborough Enterprise Partnership, Notion Capital, Calibrate Partners, IQ Capital, Space Camp Accelerator, Sistema Venture Capital, Low Carbon Innovation Fund, UK Future Fund",9.34,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,9340000,Europe
765,Kisanwala,Crops,Business Planning & Finance,India,,1,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,1000000,Asia
766,KnipBio,"Livestock, Poultry, & Meats",Biotech,United States,"Boynton Angels, Cherrystone Angel Group, Launchpad Venture Group",7.78,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,7780000,North America
767,Krado,Crops,Monitoring & Management,United States,"Pelion Venture Partners, Silicon Slopes, Lendio",0.4,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,400000,North America
768,Kray Technologies,Crops,Monitoring & Management,Ukraine,"EIT Food, Ukrainian Foundation of Startups",0.05,Ukraine,UA,UKR,804,ISO 3166-2:UA,Europe,Eastern Europe,150,151,50000,Europe
769,Krishi-Tantra,Multi-faceted,Monitoring & Management,India,"Bosch DNA, NabVentures, Omnivore Partners",1,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,1000000,Asia
770,KrishiBOT,Crops,Monitoring & Management,India,HDFC Bank,0.7,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,700000,Asia
